Competencia;Data;nome;descricao;Responsavel;Valor
01/02/2023;01/02/2023;310Cafeteria;;Rafa;939,48
01/02/2023;02/02/2023;AmazonPrime;;Rafa;2377,03
01/02/2023;03/02/2023;BarrancoGato;;Rafa;1831,32
01/02/2023;04/02/2023;Hora Pastel;;Rafa;1498,65
01/02/2023;05/02/2023;OCV Ferragem;;Rafa;394,27
01/02/2023;06/02/2023;Presente tia lori;;Rafa;394,21
01/02/2023;07/02/2023;Aluguel;;Rafa;149,92
01/02/2023;08/02/2023;Internet;;Rafa;2166,11
01/02/2023;09/02/2023;Posto SIm;;Rafa;1504,78
01/02/2023;10/02/2023;ConectCar;;Rafa;1771,64
01/02/2023;11/02/2023;ConectCar;;Rafa;56,36
01/02/2023;12/02/2023;Unisuper;;Rafa;2424,93
01/02/2023;13/02/2023;BeCoffe;;Rafa;2081,94
01/02/2023;14/02/2023;B12;;Rafa;534,79
01/02/2023;15/02/2023;Unisuper;;Rafa;458,65
01/02/2023;16/02/2023;Apê;;Rafa;462,59
01/02/2023;17/02/2023;Apê;;Rafa;764,08
01/02/2023;18/02/2023;Apê;;Rafa;1314,27
01/02/2023;19/02/2023;Amigo secreto;;Thais;1082,7
01/02/2023;19/02/2023;Luz;;Thais;731,62
01/02/2023;19/02/2023;Casa;;Thais;1531,57
01/02/2023;19/02/2023;Gasolina;;Thais;353,04
01/02/2023;20/02/2023;Mercado;;Thais;733,9
01/02/2023;21/02/2023;Farmacia;;Thais;919,07
01/02/2023;22/02/2023;Comer fora;;Thais;1142,89
01/02/2023;23/02/2023;Marmita;;Thais;1964,01
01/02/2023;24/02/2023;Sofá 6/12;;Thais;503,19
01/02/2023;25/02/2023;Cama 3/10;;Thais;1288,01
01/02/2023;26/02/2023;Faxina;;Thais;1483,07
01/03/2023;01/03/2023;boleto AP1;fev/36;Rafa;120,89
01/03/2023;02/03/2023;boleto AP2;fev/36;Rafa;1520,82
01/03/2023;03/03/2023;boleto AP3;fev/36;Rafa;430,46
01/03/2023;04/03/2023;Pedagio Conectcat;;Rafa;167,3
01/03/2023;05/03/2023;Presente Lucas;;Rafa;2372,47
01/03/2023;06/03/2023;Racao gordo;;Rafa;2414,25
01/03/2023;07/03/2023;Aluguel;;Rafa;2021,95
01/03/2023;08/03/2023;Internet;;Rafa;765,01
01/03/2023;09/03/2023;Colchão 7/12;;Thais;248,69
01/03/2023;10/03/2023;Luz;;Thais;1712,16
01/03/2023;11/03/2023;Caixa;;Thais;1103,18
01/03/2023;12/03/2023;Sofá 4/10;;Thais;309,49
01/03/2023;13/03/2023;Comer fora;;Thais;1240,47
01/03/2023;14/03/2023;Gasolina;;Thais;90,8
01/03/2023;15/03/2023;Mercado;;Thais;2273,75
01/03/2023;16/03/2023;Casa;;Thais;650,66
01/03/2023;17/03/2023;Arikawa;;Thais;1657,99
01/03/2023;18/03/2023;Gordinho;;Thais;782,72
01/03/2023;19/03/2023;Carro 1/3;;Thais;1302,57
01/03/2023;20/03/2023;Farmácia;;Thais;1369,04
01/04/2023;01/04/2023;boleto AP1;mar/36;Rafa;466,21
01/04/2023;02/04/2023;boleto AP2;mar/36;Rafa;2424,11
01/04/2023;03/04/2023;boleto AP3;mar/36;Rafa;1938,96
01/04/2023;04/04/2023;OCV ferragem;;Rafa;2349,05
01/04/2023;05/04/2023;OCV ferragem;;Rafa;2237,59
01/04/2023;06/04/2023;OCV ferragem;;Rafa;1496,76
01/04/2023;07/04/2023;GMAD;;Rafa;2305,08
01/04/2023;08/04/2023;Conectcat;;Rafa;225,79
01/04/2023;09/04/2023;Aluguel;;Rafa;493,98
01/04/2023;10/04/2023;Internet;;Rafa;117,84
01/04/2023;11/04/2023;Colchão 8/12;;Thais;816,7
01/04/2023;12/04/2023;Luz;;Thais;974,75
01/04/2023;13/04/2023;Sofá 5/10;;Thais;682,02
01/04/2023;14/04/2023;Carro 2/3;;Thais;2072,7
01/04/2023;15/04/2023;Comer fora;;Thais;895,1
01/04/2023;16/04/2023;Hotel Pinhal;;Thais;705,93
01/04/2023;17/04/2023;Casa;;Thais;1359,03
01/04/2023;18/04/2023;Farmacia;;Thais;356,61
01/04/2023;19/04/2023;Mercado;;Thais;2006,48
01/04/2023;20/04/2023;Gasolina;;Thais;191,0
01/04/2023;21/04/2023;Fruteira;;Thais;2467,28
01/04/2023;22/04/2023;Juros obra;;Thais;1931,75
01/04/2023;23/04/2023;Cartório;;Thais;500,8
01/05/2023;01/05/2023;boleto AP1;abr/36;Rafa;18,78
01/05/2023;02/05/2023;boleto AP2;abr/36;Rafa;2039,58
01/05/2023;03/05/2023;boleto AP3;abr/36;Rafa;1768,61
01/05/2023;04/05/2023;AmazonPrime;;Rafa;1823,87
01/05/2023;05/05/2023;Conectcat;;Rafa;1929,32
01/05/2023;06/05/2023;Aluguel;;Rafa;189,74
01/05/2023;07/05/2023;Internet;;Rafa;899,37
01/05/2023;08/05/2023;Vet Gordo;;Rafa;294,09
01/05/2023;09/05/2023;Amazon Music;;Thais;2158,44
01/05/2023;03/05/2023;Colchão 9/12;;Thais;1560,13
01/05/2023;04/05/2023;Estacionamento;;Thais;830,59
01/05/2023;05/05/2023;Juros obra 4/36;;Thais;163,58
01/05/2023;06/05/2023;Luz;;Thais;780,9
01/05/2023;07/05/2023;Sofá 6/10;;Thais;816,33
01/05/2023;08/05/2023;Carro 3/3;;Thais;1825,37
01/05/2023;09/05/2023;Comer fora;;Thais;1595,71
01/05/2023;10/05/2023;Casa;;Thais;2218,6
01/05/2023;11/05/2023;Farmacia;;Thais;1183,18
01/05/2023;12/05/2023;Mercado;;Thais;303,39
01/05/2023;13/05/2023;Gasolina;;Thais;1784,55
01/05/2023;14/05/2023;Fruteira;;Thais;1903,16
01/06/2023;02/06/2023;boleto AP1;mai/36;Rafa;1405,39
01/06/2023;03/06/2023;boleto AP2;mai/36;Rafa;1928,56
01/06/2023;04/06/2023;boleto AP3;mai/36;Rafa;1237,02
01/06/2023;05/06/2023;AmazonPrime;;Rafa;1309,22
01/06/2023;06/06/2023;Cirurgia Gordo;;Rafa;1071,71
01/06/2023;07/06/2023;Pizzaria Tartalia;;Rafa;68,42
01/06/2023;08/06/2023;Pizzaria Tartalia;;Rafa;274,19
01/06/2023;09/06/2023;Pomada Gordo;;Rafa;83,42
01/06/2023;10/06/2023;Conectcat;;Rafa;1592,84
01/06/2023;11/06/2023;Aluguel;;Rafa;789,32
