id,data,competencia,responsavel,descricao,valor,categoria,subcategoria,tipo,observacao
1,01/02/2023,02.2023,Rafa,310Cafeteria,"R$ 42,90",Alimentacao,Restaurante_Delivery,NAO_ESSENCIAL,
2,02/02/2023,02.2023,Rafa,AmazonPrime,"R$ 14,90",Lazer,Assinaturas,NAO_ESSENCIAL,
3,03/02/2023,02.2023,Rafa,BarrancoGato,"R$ 62,00",Alimentacao,Restaurante_Delivery,NAO_ESSENCIAL,
4,04/02/2023,02.2023,Rafa,Hora Pastel,"R$ 43,80",Alimentacao,Restaurante_Delivery,NAO_ESSENCIAL,
5,05/02/2023,02.2023,Rafa,OCV Ferragem,"R$ 16,50",Moradia,Manutencao_Reparos,OPEX,
6,06/02/2023,02.2023,Rafa,Presente tia lori,"R$ 100,00",Pessoal,Presentes,NAO_ESSENCIAL,
7,07/02/2023,02.2023,Rafa,Aluguel,"R$ 851,00",Moradia,Aluguel,OPEX,
8,08/02/2023,02.2023,Rafa,Internet,"R$ 129,00",Moradia,Internet,OPEX,
9,09/02/2023,02.2023,Rafa,Posto SIm,"R$ 100,00",Transporte,Gasolina,OPEX,
10,10/02/2023,02.2023,Rafa,ConectCar,"R$ 50,00",Transporte,Pedagio,OPEX,
11,11/02/2023,02.2023,Rafa,ConectCar,"R$ 50,00",Transporte,Pedagio,OPEX,
12,12/02/2023,02.2023,Rafa,Unisuper,"R$ 23,38",Alimentacao,Mercado,OPEX,
13,13/02/2023,02.2023,Rafa,BeCoffe,"R$ 49,70",Alimentacao,Restaurante_Delivery,NAO_ESSENCIAL,
14,14/02/2023,02.2023,Rafa,B12,"R$ 44,08",Alimentacao,Mercado,OPEX,
15,15/02/2023,02.2023,Rafa,Unisuper,"R$ 38,85",Alimentacao,Mercado,OPEX,
16,16/02/2023,02.2023,Rafa,Ape,"R$ 260,62",Investimento,AP315,INVESTIMENTO,
17,17/02/2023,02.2023,Rafa,Ape,"R$ 408,48",Investimento,AP315,INVESTIMENTO,
18,18/02/2023,02.2023,Rafa,Ape,"R$ 578,62",Investimento,AP315,INVESTIMENTO,
19,19/02/2023,02.2023,Thais,Casa,"R$ 118,15",Moradia,Moveis_Eletros,CAPEX,
20,19/02/2023,02.2023,Thais,Amigo secreto,"R$ 34,95",Lazer,Entreterimento,NAO_ESSENCIAL,
21,19/02/2023,02.2023,Thais,Gasolina,"R$ 494,75",Transporte,Gasolina,OPEX,
22,19/02/2023,02.2023,Thais,Luz,"R$ 268,12",Moradia,Luz,OPEX,
23,20/02/2023,02.2023,Thais,Mercado,"R$ 567,66",Alimentacao,Mercado,OPEX,
24,21/02/2023,02.2023,Thais,Farmacia,"R$ 127,34",Saude,Farmácia,BEM_ESTAR,
25,22/02/2023,02.2023,Thais,Comer fora,"R$ 747,53",Alimentacao,Restaurante_Delivery,NAO_ESSENCIAL,
26,23/02/2023,02.2023,Thais,Marmita,"R$ 453,00",Alimentacao,Restaurante_Delivery,NAO_ESSENCIAL,
