id;data;competencia;responsavel;descricao;valor;categoria;subcategoria;tipo;observacao
1;01/02/2023;22.023;Rafa;310Cafeteria;939,48;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
2;02/02/2023;22.023;Rafa;AmazonPrime;2377,03;Lazer;Assinaturas;NAO_ESSENCIAL;
3;03/02/2023;22.023;Rafa;BarrancoGato;1831,32;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
4;04/02/2023;22.023;Rafa;Hora Pastel;1498,65;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
5;05/02/2023;22.023;Rafa;OCV Ferragem;394,27;Moradia;Manutencao_Reparos;OPEX;
6;06/02/2023;22.023;Rafa;Presente tia lori;394,21;Pessoal;Presentes;NAO_ESSENCIAL;
7;07/02/2023;22.023;Rafa;Aluguel;149,92;Moradia;Aluguel;OPEX;
8;08/02/2023;22.023;Rafa;Internet;2166,11;Moradia;Internet;OPEX;
9;09/02/2023;22.023;Rafa;Posto SIm;1504,78;Transporte;Gasolina;OPEX;
10;10/02/2023;22.023;Rafa;ConectCar;1771,64;Transporte;Pedagio;OPEX;
11;11/02/2023;22.023;Rafa;ConectCar;56,36;Transporte;Pedagio;OPEX;
12;12/02/2023;22.023;Rafa;Unisuper;2424,93;Alimentacao;Mercado;OPEX;
13;13/02/2023;22.023;Rafa;BeCoffe;2081,94;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
14;14/02/2023;22.023;Rafa;B12;534,79;Alimentacao;Mercado;OPEX;
15;15/02/2023;22.023;Rafa;Unisuper;458,65;Alimentacao;Mercado;OPEX;
16;16/02/2023;22.023;Rafa;Ape;462,59;Investimento;AP315;INVESTIMENTO;
17;17/02/2023;22.023;Rafa;Ape;764,08;Investimento;AP315;INVESTIMENTO;
18;18/02/2023;22.023;Rafa;Ape;1314,27;Investimento;AP315;INVESTIMENTO;
19;19/02/2023;22.023;Thais;Casa;1082,7;Moradia;Moveis_Eletros;CAPEX;
20;19/02/2023;22.023;Thais;Amigo secreto;731,62;Lazer;Entreterimento;NAO_ESSENCIAL;
21;19/02/2023;22.023;Thais;Gasolina;1531,57;Transporte;Gasolina;OPEX;
22;19/02/2023;22.023;Thais;Luz;353,04;Moradia;Luz;OPEX;
23;20/02/2023;22.023;Thais;Mercado;733,9;Alimentacao;Mercado;OPEX;
24;21/02/2023;22.023;Thais;Farmacia;919,07;Saude;Farmácia;BEM_ESTAR;
25;22/02/2023;22.023;Thais;Comer fora;1142,89;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
26;23/02/2023;22.023;Thais;Marmita;1964,01;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
27;24/02/2023;22.023;Thais;Sofa 6/12;503,19;Moradia;Moveis_Eletros;CAPEX;
28;25/02/2023;22.023;Thais;Cama 3/10;1288,01;Moradia;Moveis_Eletros;CAPEX;
29;26/02/2023;22.023;Thais;Faxina;1483,07;Moradia;Faxina;OPEX;
30;01/03/2023;32.023;Rafa;boleto AP1 fev/36;120,89;Investimento;AP315;INVESTIMENTO;
31;02/03/2023;32.023;Rafa;boleto AP2 fev/36;1520,82;Investimento;AP315;INVESTIMENTO;
32;03/03/2023;32.023;Rafa;boleto AP3 fev/36;430,46;Investimento;AP315;INVESTIMENTO;
33;04/03/2023;32.023;Rafa;Pedagio Conectcat;167,3;Transporte;Pedagio;OPEX;
34;05/03/2023;32.023;Rafa;Presente Lucas;2372,47;Pessoal;Presentes;NAO_ESSENCIAL;
35;06/03/2023;32.023;Rafa;Racao gordo;2414,25;Pet;Pet;OPEX;
36;07/03/2023;32.023;Rafa;Aluguel;2021,95;Moradia;Aluguel;OPEX;
